Method,Variable,Mean,Std,Min,Max,Skewness,Kurtosis
Original,LBXGLU,108.969,33.285,59.0,561.0,4.71,32.805
Original,LBXTLG,120.049,87.542,25.0,1745.0,6.251,82.943
Original,BMXWAIST,100.411,16.796,60.0,177.2,0.579,0.437
StandardScaler,LBXGLU,-0.0,1.0,-1.501,13.583,4.71,32.805
StandardScaler,LBXTLG,-0.0,1.0,-1.086,18.565,6.251,82.943
StandardScaler,BMXWAIST,0.0,1.0,-2.406,4.573,0.579,0.437
MinMaxScaler,LBXGLU,0.1,0.066,0.0,1.0,4.71,32.805
MinMaxScaler,LBXTLG,0.055,0.051,0.0,1.0,6.251,82.943
MinMaxScaler,BMXWAIST,0.345,0.143,0.0,1.0,0.579,0.437
RobustScaler,LBXGLU,0.498,2.08,-2.625,28.75,4.71,32.805
RobustScaler,LBXTLG,0.31,1.287,-1.088,24.206,6.251,82.943
RobustScaler,BMXWAIST,0.064,0.757,-1.757,3.523,0.579,0.437
PowerTransformer,LBXGLU,-0.0,1.0,-7.465,2.778,-0.178,3.192
PowerTransformer,LBXTLG,0.0,1.0,-3.397,3.768,-0.005,0.077
PowerTransformer,BMXWAIST,0.0,1.0,-3.214,3.315,0.003,-0.207
